,Ticker,sector,ROE_2022,ROE_2023,ROE_2024,EBIT Margin_2022,EBIT Margin_2023,EBIT Margin_2024,ROA_2022,ROA_2023,ROA_2024,ROIC_2022,ROIC_2023,ROIC_2024
294,CYL.AX,Basic Materials,0.037393074633260345,-0.13594298074336608,0.12606186438637282,0.0025517117529710717,-0.23514325034405104,0.09855400707855173,0.025804375846454355,-0.07898991630598327,0.07183368297799678,0.0360889550195393,-0.12081498525288871,0.11405084310868187
771,CYM.AX,Basic Materials,-0.32765262191267847,-0.22660606236067282,-0.14543858027544135,,,,-0.16731320832851218,-0.1159822304411865,-0.07072088901123905,-0.23983553536120678,-0.15491062239744138,-0.0926330662074751
415,TBR.AX,Basic Materials,0.007108538731615341,0.002150786518515625,0.018371633152688773,0.11088188560173746,0.10119665678121353,0.1287501995485164,0.005257761420741066,0.001642963437321331,0.013990239334125137,0.007108538731615341,0.002150786518515625,0.018371633152688773
1580,CZN.AX,Basic Materials,-0.1265352680028692,-0.03825914991720505,-0.16412860868089024,,,,-0.12225505056365905,-0.03678869425975917,-0.1597772154190997,-0.1265352680028692,-0.03825914991720505,-0.16412860868089024
693,CZR.AX,Basic Materials,-0.3372699665561983,-0.4509631821937805,0.4870614008574534,,,-5536.766414141414,-0.32662402977072813,-0.4280767721764293,0.35529631086972696,-0.3372699665561983,-0.4509631821937805,0.4870614008574534
429,CXO.AX,Basic Materials,-0.04815954637170802,0.036418964338481054,-0.6767408637547933,,0.20714257480532827,-1.0607934815878075,-0.04456492475884329,0.02826157773865587,-0.5005748995588205,-0.04815954637170802,0.036418964338481054,-0.6767408637547933
1099,NIM.AX,Basic Materials,-1.258464067954768,-3.4279438418682338,-5.442047377326565,,,,-1.1864813353899373,-2.7738037120120036,-2.3251022707061124,-1.258464067954768,-3.4279438418682338,-5.442047377326565
1406,TEM.AX,Basic Materials,-0.12488774546929811,-0.09069827691899786,-0.0803618789387688,,,,-0.12113598501014965,-0.0882596267552784,-0.07820892329450675,-0.12488774546929811,-0.09069827691899786,-0.0803618789387688
1164,NME.AX,Basic Materials,0.6720153685247935,0.5299359451976143,0.677298231353779,,,,-1.1198416731466554,-0.6618768840249885,-0.4920049785692136,0.8574844007513548,0.7259168989542196,1.2393983980824073
1490,CPM.AX,Basic Materials,,-0.164869298153771,-0.15466979648074572,,,,,-0.1573019507944704,-0.1511021280141688,,-0.164869298153771,-0.15466979648074572
